数据1	数据2	数据3	数据4	所属簇ID	
1	15.6128	6.97857	1.1048	1
3	22.5688	4.92522	1.05584	3
3	20.1449	6.88273	1.41098	3
1	23.894	6.20581	2.12474	噪声点
1	0.89041	10.6416	1.04089	5
1	7.98227	10.1183	1.07833	1
3	19.1371	6.57414	1.80619	3
1	3.64696	10.1465	1.59827	0
1	7.44903	5.86051	-1.66462	0
1	13.9512	6.88349	2.50894	1
3	21.7649	3.37351	0.222602	3
3	17.8642	4.28827	0.513366	3
3	21.0518	4.91356	0.0359	3
3	8.717	6.0642	-1.18367	噪声点
3	22.1484	5.06448	0.417091	3
3	25.3979	4.33713	-0.90864	噪声点
2	19.1755	4.35511	0.886362	3
2	21.2693	3.86475	1.10211	3
1	4.30985	6.90396	0.674824	0
1	13.6265	8.34819	2.00538	1
1	2.22097	8.11411	-0.51055	0
1	14.4447	6.45839	1.8781	1
3	24.4278	3.43526	0.649564	3
2	22.2407	3.98505	0.205192	3
1	2.81921	9.43384	0.571478	0
1	10.7396	6.3309	3.42817	10
1	15.5997	8.97548	1.91395	1
1	15.0669	5.74232	0.791938	1
1	13.7193	6.84605	1.07812	1
3	20.3627	4.16507	0.708186	3
3	24.877	3.62411	0.892849	3
2	21.153	5.97101	1.07537	3
1	4.81411	8.4103	2.18665	0
1	13.2999	6.26682	0.428673	1
3	21.3135	4.3239	1.74695	3
3	19.8705	4.84348	1.27563	3
3	25.0249	3.53542	2.22165	3
1	12.1582	4.86172	2.94808	10
1	4.97004	1.76708	2.89422	噪声点
1	7.38555	3.44913	0.030701	0
1	1.96961	4.62577	3.25202	噪声点
1	5.4432	6.01673	2.28579	0
1	11.8519	3.26596	1.54701	噪声点
3	15.6578	0.6489	-0.16725	噪声点
3	17.4078	2.83759	2.5909	噪声点
3	20.7242	5.50168	0.588664	3
3	24.4802	1.81414	-1.31461	11
3	9.21708	0.1839	2.12451	噪声点
3	11.9125	0.23885	1.2341	噪声点
3	21.1608	2.04512	1.55836	3
3	23.6918	2.38233	-0.30464	11
3	26.3051	4.49844	0.283392	3
2	20.5672	6.23878	-0.24025	3
1	1.40287	7.63518	1.22225	12
1	1.3266	8.97123	1.28412	12
1	12.5472	7.47096	1.58936	1
1	1.66915	10.3987	1.87685	5
1	8.30649	8.66821	1.73345	1
1	11.9597	5.56318	2.10132	10
3	19.3423	3.87524	2.03176	3
3	20.1222	5.25554	1.20742	3
3	25.3573	3.57163	0.592037	3
1	1.77216	11.048	2.09744	5
1	6.79441	5.70145	0.891868	0
1	10.4	7.59872	1.68097	1
3	22.8983	4.94515	0.72008	3
1	11.3963	6.7711	1.32491	1
1	1.28976	10.0155	3.55354	噪声点
1	3.39043	10.1315	1.02678	0
1	13.1776	6.75546	1.04162	1
1	20.0226	7.14473	0.985687	3
3	20.5291	4.70913	1.39324	3
3	19.4645	5.78159	1.23772	3
2	12.8055	4.38417	0.334177	7
1	6.00195	8.5187	3.43155	噪声点
1	7.40098	5.78266	0.286386	0
1	10.862	7.54673	-0.02687	1
1	14.4034	5.9315	0.83454	1
3	17.5606	3.82229	-1.06071	3
3	20.1191	4.64095	1.73004	3
3	19.5455	5.41332	-0.04457	3
3	21.7524	3.20457	-0.03832	3
1	2.81762	9.76946	1.05189	0
1	13.432	5.75857	0.773715	1
1	16.7351	6.21571	0.107035	2
3	17.9572	3.10243	0.772933	3
3	20.2142	4.18069	1.87555	3
3	20.6331	2.53428	1.4245	3
1	0.65956	9.20724	0.175341	12
1	2.60679	8.84917	0.384181	0
1	8.85127	8.13687	-0.74774	噪声点
1	13.5281	7.00739	1.38888	1
3	17.7908	5.42989	2.21895	3
3	22.8833	5.44584	0.753483	3
3	22.8915	4.46475	2.69193	3
1	4.22682	9.98298	0.704601	0
1	6.46863	8.30395	-0.34731	0
1	15.3948	5.90629	1.46806	1
1	18.0265	5.79142	2.43774	噪声点
3	18.2915	6.52462	3.42198	噪声点
3	21.9671	4.80423	1.92401	3
3	24.3632	3.94907	1.25169	3
1	10.8144	13.143	5.3847	噪声点
1	6.43402	8.51439	0.420333	0
1	9.4215	7.13263	2.37405	1
1	13.9363	5.80482	1.42064	1
1	15.1403	6.1205	1.48631	1
3	17.6239	5.03735	1.0847	3
3	22.463	4.05608	0.723834	3
3	23.5499	4.53854	0.216632	3
3	22.1999	4.69377	-0.33026	3
1	2.46195	7.81616	1.70767	12
1	4.59133	7.66781	2.20217	0
1	11.9276	7.5082	1.70162	1
1	13.1489	5.80028	-0.34154	1
1	17.839	6.28149	-0.45447	2
1	18.3517	7.33177	0.080937	2
3	20.2797	4.88713	0.716766	3
3	24.1469	4.60214	0.970938	3
3	24.1469	4.60214	0.970938	3
